,clause_text,clause_type
0,"Automatic Renewal. Upon the expiration of the original term or any renewal term of employment, Employee’s employment shall be automatically renewed for a one (1) year period unless, at least sixty (60) days prior to the renewal date, either party gives the other party written notice of its intent not to continue the employment relationship. During any renewal term of employment, the terms, conditions and provisions set forth in this Agreement shall remain in effect unless modified in accordance with Section 8.",automatic_renewal_clause
1,"Automatic Renewal. This Agreement shall be automatically extended for one additional year, unless on or before November 30, 2007 (for the initial term), or thirteen (13) months before the expiration of any extended term, either Party provides to the other written notice of its desire not to automatically renew this Agreement.",automatic_renewal_clause
2,"Automatic Renewal. This Agreement shall renew automatically, with respect to each series set forth in Schedule A, on the same terms, for a period of one year from the expiration of the waiver and/or expense commitment applicable to such series as set forth in Schedule A, unless prior to such an expiration, CMA and/or CMD provide notice to the appropriate Board of Trustees of a Company of any proposals to increase, decrease or eliminate the series’ fee waivers and/or expense commitment, or to change the time period covered or any other terms thereof, for a subsequent period. Any renewal of this Agreement with respect to a series does not preclude CMA or CMD from requesting that a Company’s Board of Trustees approve changes to the fee waivers and/or expense commitment, or to the time period covered or any other terms thereof, prior to a subsequent renewal.",automatic_renewal_clause
3,"Automatic Renewal. If a Holder of such Security has not delivered a Repayment Election for repayment of the Security on or prior to the 15th day following the Maturity Date, and the Company did not notify the Holder of its intention to repay the Security in the Notice of Maturity, then such maturing Security shall be extended automatically for an additional term equal to the original term, and shall be deemed to be renewed by the Holder and the Company as of the Maturity Date of such maturing Security. A maturing Security will continue to renew as described herein absent a Redemption Notice or Repurchase Request by the Holder or an indication by the Company that it will repay and not allow the Security to be renewed in the Notice of Maturity. Interest on the renewed Security shall accrue from the Issue Date thereof, which is the first day of such renewed term (i.e., the Maturity Date of the maturing Security). Such renewed Security will be deemed to have the identical terms and provisions of the maturing Security, including provisions relating to payment, except that the interest rate payable during the term of the renewed Security shall be the interest rate which is being offered by the Company on other Securities having the same term and to Persons holding the same principal amount of Securities as of the Issue Date of such renewal. If other Securities having the same term are not then being issued on the Issue Date of such renewal, the interest rate upon renewal will be the rate specified by the Company on or before the Maturity Date of such Security, or the then existing rate of the Security being renewed if no such rate is specified. If the maturing Security pays interest only on the Maturity Date, then, except as provided in subsection (d) above, all accrued interest thereon shall be added to the principal amount of the renewed Security upon renewal.Notwithstanding the foregoing or anything in Section 2.1(d) to the contrary, if a Repayment Election is given or is due at a time when the Company has determined that a post-effective amendment to the Registration Statement was required but not yet effective, the Company will provide notice to the Holder (including a copy of the post-effective amendment to the Prospectus), and the Holder will be entitled to rescind his or her Repayment Election, if made, or to make a Repayment Election, if not previously made, by delivering a written rescission of the earlier Repayment Election, or a Repayment Election, as the case may be, ...",automatic_renewal_clause
4,Automatic Renewal. This Agreement shall be renewed automatically for succeeding terms of three (3) years each unless either party gives written notice to the other at least ninety (90) days prior to the expiration of any term of Executive’s or Company’s intention not to renew pursuant to Company’s bylaws.,automatic_renewal_clause
5,"Automatic Renewal. This Agreement shall automatically renew and be extended from year to year upon the expiration of the Employment Term (as extended if extended) unless terminated by either party by written notice given to the other at least three months prior to its terminationn date. If any such notice shall be given, this Agreement shall terminate on the the next succeeding October 31.",automatic_renewal_clause
6,Automatic Renewal. This Agreement shall continue for successive periods of one year's duration on the same terms and conditions of employment or on such terms and conditions of employment as are agreed upon in writing between the parties unless the Employer has given at least 60 days written notice to the Employee that this Agreement is to terminate at the end of the initial period of one year or at the end of any successive period of one year.,automatic_renewal_clause
7,"Automatic Renewal. If the Parties fail to agree upon a mutually acceptable extension or renegotiation of the terms of this Agreement in accordance with this Section 7(a), then upon the Term Conclusion Date this Agreement shall continue in full force and effect and all terms and conditions contained herein shall continue to apply and be enforceable subject to the following exceptions:",automatic_renewal_clause
8,"Automatic Renewal. Immediately upon the expiration of the initial term (and each subsequent term), the term of this Agreement shall be automatically extended for an additional one (1) year period, not to exceed four (4) renewal terms.",automatic_renewal_clause
9,"Automatic Renewal. Upon completion of the Initial Term, the Agreement shall continue from month to month until terminated or until the parties negotiate a new term.",automatic_renewal_clause
10,Automatic Renewal deleted],automatic_renewal_clause
11,"Automatic Renewal. The Term shall automatically be extended on the second anniversary of the Commencement Date for an additional two years, and on each subsequent anniversary of the Commencement Date thereafter for an additional one year, unless in any such case either Executive or Company delivers, at least one hundred and eighty days before such anniversary of the Commencement Date, written notice to the other party of his or its intent not to renew or extend the Term.",automatic_renewal_clause
12,"Automatic Renewal. This Agreement shall renew automatically, on the same terms identified herein, for a period of one year from each anniversary date of this Agreement (August 1, 2005 was the original anniversary date of this Agreement before it was assumed by CMA and CMD during a series of service provider transitions) unless prior to such an anniversary, CMA and/or CMD provide notice to the appropriate Board of Trustees of a Company of any proposals to increase, decrease or eliminate fee waivers and/or limits on total operating expense ratios for one or more series for a subsequent year. Any renewal of this Agreement does not preclude CMA or CMD from requesting that a Company's Board of Trustees approve changes to the fee waivers and/or total operating expense ratio limits prior to a subsequent renewal.",automatic_renewal_clause
13,"Automatic Renewal. Commencing on April 4 and on each anniversary of that date thereafter, the Term shall be extended for an additional one year period, subject to non-renewal provisions herein.",automatic_renewal_clause
14,Automatic Renewal. Each Schedule will renew automatically at the end of the then-current Schedule Term for a Schedule Renewal Term unless terminated in accordance with this Agreement by either You or Intermedia.,automatic_renewal_clause
15,"Automatic Renewal. Subject to Section 3.03, this Agreement automatically will renew upon the expiration of the initial Term or any Florida Trust Term, as the case may be, and each renewal Term or renewal Florida Trust Term, as applicable thereafter on the same terms and conditions for successive Terms with respect to each Beneficiary. In the event of such renewal, the Trustee shall, prior to the expiration as hereinabove provided, as originally fixed, or as theretofore extended, as the case may be, file in the principal executive office of the Company a copy of an agreement extending the expiration date of this Agreement and thereupon the duration of this Agreement shall be extended for the period fixed by such renewal agreement; provided, however, that no such extension agreement shall affect the rights or obligations of persons not parties thereto.",automatic_renewal_clause
16,Automatic Renewal. This Agreement shall be renewed automatically for succeeding terms of one (1) year each (“Renewal Terms”) unless either party gives notice to the other at least 30 days prior to the expiration of any term of said party’s intention not to renew this Agreement.,automatic_renewal_clause
17,"Automatic Renewal. This Agreement renews automatically for a 1 year period at the expiration of the Initial Term, unless canceled in accordance with the termination provisions of this Agreement (""SUBSEQUENT TERM""). Each Subsequent Term renews automatically for a 1 year period upon its expiration, unless canceled in accordance with the termination provisions of this Agreement.",automatic_renewal_clause
18,"Automatic Renewal. After April 30, 2001, this Agreement shall be renewed automatically for succeeding terms of one year each, subject to earlier termination as provided in Article 6, unless one party gives notice to the other at least ninety (90) days prior to the expiration of any term of his or its intention not to renew.",automatic_renewal_clause
19,"Automatic Renewal. Commencing on 9/1/15 and on each anniversary of that date thereafter, the Term shall be extended for an additional one year period.",automatic_renewal_clause
20,"Automatic Renewal. SO THAT WE CAN MANAGE YOUR SERVICES EFFECTIVELY AND TO ENSURE SEAMLESS CONTINUITY OF THOSE SERVICES, ALL AGREEMENTS WILL RENEW AUTOMATICALLY FOR SUCCESSIVE PERIODS EQUAL TO THE CURRENT TERM UNTIL BROUGHT TO AN END BY YOU OR US. ALL PERIODS SHALL RUN TO THE LAST DAY OF THE MONTH IN WHICH THEY WOULD OTHERWISE EXPIRE. THE FEES ON ANY RENEWAL WILL BE AT THE THEN PREVAILING MARKET RATE. IF YOU DO NOT WISH FOR AN AGREEMENT TO RENEW THEN YOU CAN CANCEL IT EASILY WITH EFFECT FROM THE END DATE STATED IN THE AGREEMENT, OR AT THE END OF ANY EXTENSION OR RENEWAL PERIOD, BY GIVING US PRIOR NOTICE. NOTICE MUST BE GIVEN THROUGH YOUR ONLINE ACCOUNT OR THROUGH THE APP. THE NOTICE PERIODS REQUIRED ARE AS FOLLOWS:Term Notice Period Month-to-Month no less than 1 month’s notice from the 1st day of any calendar month 3 months no less than 2 months’ notice prior to the end of the term More than 3 months no less than 3 months’ notice prior to the end of the term",automatic_renewal_clause
21,"Automatic Renewal. Unless terminated (a) by the Lender (i) by giving written notice to the Borrower no less than ninety (90) days prior to the Maturity Date or (ii) in accordance with Section 8.2, or (b) by the Borrower (i) by giving written notice to the Lender no less than ninety (90) days prior to the Maturity Date or (ii) in accordance with Section 2.12, the Credit Facility shall remain in effect until the Original Maturity Date, and, thereafter, shall automatically renew for successive one-year periods; provided, however that the Credit Facility shall not renew unless the credit facility under the Wells Fargo Bank Minnesota Credit Agreement is extended for the same renewal term. “Maturity Date” shall initially mean the Original Maturity Date; provided, however, that if at any time the Credit Facility has been automatically renewed, “Maturity Date” shall mean the one-year anniversary of the date that was formerly the Maturity Date.",automatic_renewal_clause
22,"Automatic Renewal. Commencing on June 30, 2015 and on each anniversary of that date thereafter, the Term shall be extended for an additional one year period.",automatic_renewal_clause
23,"Automatic Renewal. Subject to Section 5.4 and any earlier termination pursuant to Section 5.1, upon the expiry of the ten-year initial term of this Agreement provided pursuant to Section 5.1, the term of this Agreement shall be automatically renewed for a further term of three years subject to the Trust’s right of earlier termination on the same basis as provided in Section 5.1 and subject to Section 5.4 and thereafter automatically for such additional three-year renewal terms upon the expiry of each preceding renewal term, all subject to Section 5.1 and Section 5.4.",automatic_renewal_clause
24,Automatic Renewal. THIS AGREEMENT IS EFFECTIVE FROM THE DATE I SIGN UP AND PAY MY ANNUAL FEE AND CONTINUES FOR A PERIOD OF ONE YEAR. THIS AGREEMENT SHALL AUTOMATICALLY RENEW FOR SUCCESSIVE TERMS OF ONE YEAR UNLESS EITHER PARTY PROVIDES WRITTEN NOTICE TO THE OTHER OF ITS INTENT TO TERMINATE THE AGREEMENT. I HEREBY AUTHORIZE CM TO CHARGE MY DESIGNATED CREDIT CARD FOR THE AMOUNT OF THE ANNUAL FEE.,automatic_renewal_clause
25,"Automatic Renewal. The Applicable Period shall automatically renew for subsequent two-year periods, cancelable on one year’s notice by either Parent or the Partnership. Following the expiration of the Applicable Period, the General Partner will determine the amount of staff and support expenses and insurance premium expenses that are properly allocable to the Partnership Group in accordance with the terms of the Partnership Agreement.",automatic_renewal_clause
26,"Automatic Renewal. The Term of this Agreement and each renewal thereof shall automatically be renewed for successive periods of three (3) years each, unless either the Employee or the Employer shall give notice of his or its intention not to renew not less than six (6) months before the end of the then-current Term.",automatic_renewal_clause
27,"Automatic Renewal. This Agreement renews automatically for successive one year periods at the expiration of the Initial Term, unless otherwise canceled in accordance with the termination provisions of this Agreement.",automatic_renewal_clause
