,clause_text,clause_type
0,"Renewal Option. Lessor hereby grants Lessee (but no assignee or subtenant) two (2) options to renew this Lease, each option to be for a period of sixty(60) months, for a total of one hundred twenty (120) months in the event both renewal options are exercised. Each said renewal option shall be exercised by Lessee notifying Lessor thereof in writing not more than two hundred seventy (270) and at least two hundred ten (210) days prior to the expiration of the then current lease or renewal term, as the case may be. In the event a renewal agreement has not been executed at least one hundred twenty (120) days prior to the expiration date of the current lease or renewal term, the option shall automatically become null and void. Each such renewal shall be subject to all of the terms and conditions of this Lease except that (i) the rentals payable during each renewal term shall be as set forth below and (ii) no further renewal option shall exist during the second renewal term. It shall be a condition to Lessee's exercising any renewal option herein granted that (y) Lessee not be then in default under this Lease and (z) Lessee shall have previously exercised the immediately preceding renewal option, if any, so that the second renewal option may not be exercised if Lessee has failed to exercise the first renewal option. The Base Rent for each renewal term shall be based on not less than 95% of the then prevailing rental rates for properties of equivalent quality, size, utility and location in the Dallas/Forth Worth market, with the length of the lease term and the creditworthiness of the Lessee taken into account; provided, however, that in no event shall the Base Rent in any renewal period be less than the Base Rent for the last month immediately preceding said renewal period. Upon notification from Lessee of its intent to exercise each renewal option, Lessor shall, within fifteen (15) days thereafter, notify Lessee in writing of the Base Rent for the applicable renewal term; Lessee shall, within fifteen (15) days following receipt of same, notify Lessor in writing of the acceptance or rejection of the proposed Base Rent. In the event of rejection by Lessee, Lessee may rescind the exercise of such renewal option by written notice to Lessor within such fifteen (15) day period for acceptance or rejection. If Lessee does not so rescind such exercise, the Base Rent for the applicable renewal term shall be determined as follows:",renewal_option_clause
1,"Renewal Option. This Contract may be renewed under the same terms and conditions, subject to the approval of the Commissioner of the Department of Administration and the State Budget Director in compliance with IC §5-22-17-4. The term of the renewed contract may not be longer than the term of the original contract.",renewal_option_clause
2,"Renewal Option. Landlord hereby grants to Tenant, and Tenant shall have, the right and option to extend the Term of this Lease for one (1) period of five (5) years (the “Renewal Term”). The Renewal Term shall commence upon the day next following the last day of the initial Term. Tenant shall notify Landlord in writing of its election to extend this Lease for the Renewal Term not less than six (6) months prior to the expiration of the initial Term, time being of the essence with respect to such notification. Notice thereof shall be deemed sufficient if given in the manner hereinafter provided. If Landlord does not receive such written notice as and when required herein, the Renewal Term shall terminate and be of no further force or effect, and this Lease shall expire as of the then-scheduled expiration date. The Renewal Term shall be upon all of the terms, covenants and conditions of this Lease, except that the Fixed Rent shall be increased by adding the CPI Adjustment Amount (defined below) to the then-current Fixed Rent. The “CPI Adjustment Amount” is calculated by multiplying the Fixed Rent payable for the last year of the initial Term by a ratio, the numerator of which is the Consumer Price Index for All Urban Consumers, Cleveland-Akron, All Items (1982-1984=100) published by the Bureau of Labor Statistics of the United States Department of Labor (the “Index”) on the date nearest the commencement date of the Renewal Term, and the denominator of which is the Index as of the first day of the third Lease Year. If, during the Lease Term the Bureau of Labor Statistics ceases to maintain the Index, then such other index or standard as will most nearly accomplish the aim or purpose of the Index shall be used in determining the amount of any such adjustment. Notwithstanding the foregoing, Tenant shall have no right to renew this Lease if, either at the time Tenant notifies Landlord of its election to extend this Lease or upon the commencement date of the Renewal Term, Tenant is in default hereunder beyond any applicable grace or cure period.",renewal_option_clause
3,"Renewal Option. Provided no Lease Event of Default shall have occurred and be continuing and Lessee shall have duly given the notice required by Section 22.2 and Lessee has not exercised its option to purchase the Units pursuant to Section 22.3, Lessee shall have the right and, upon the giving of a notice under this Section 22.4 as below provided, the obligation to lease pursuant to this Lease all (but not less than all) of the Units at the expiration of the Basic Term. Lessee may exercise this renewal option by giving Lessor written notice not less than 360 days and not more than 720 days prior to the end of the Basic Term that Lessee elects to renew this Lease with respect to the Units then leased hereunder. Such renewal shall be for a renewal term of two years. The Basic Rent for each Unit during the Renewal Term (the ""Renewal Rent"") shall be the greater of (a) $286,507.83, payable monthly in arrears and (b) the Fair Market Rental Value determined as of the commencement of the Renewal Term. The Renewal Term shall commence immediately upon the expiration of the Basic Term.",renewal_option_clause
4,"Renewal Option. Tenant shall, provided the Lease is in full force and effect and Tenant is not in monetary default under the terms and conditions of the Lease at the time of notification or commencement beyond applicable notice and cure periods, have one (1) option to renew this Lease for a term of five (5) years on the same terms and conditions set forth in the Lease, except as modified by the terms, covenants and conditions as set forth below:",renewal_option_clause
5,"Renewal Option. Tenant shall have the right and option (“Renewal Option”) to renew the Term of this Lease for two (2) successive periods of fourteen (14) years each (each, a “Renewal Term”). Tenant shall give notice to Landlord of Tenant’s exercising of such option (each a “Renewal Notice”) not later than twelve (12) months prior to the then effective Expiration Date, TIME BEING OF THE ESSENCE with respect to giving of the Renewal Notice by Tenant to Landlord; provided, however, that the Renewal Notice shall be validly and effectively given only if, on the date that Tenant shall exercise its Renewal Option (the “Exercise Date”) this Lease shall not have been previously terminated or cancelled and there shall be no uncured Event of Default. If Tenant shall validly exercise its Renewal Option in accordance with the provisions of this Section 2.02, this Lease shall be deemed to be extended pursuant to the Renewal Notice, subject to the provisions of this Lease. Notwithstanding anything to the contrary contained in this Section 2.02, if on the commencement of a Renewal Term there shall be an uncured Event of Default, then Landlord, in Landlord’s sole and absolute discretion, may elect, by written notice to Tenant, to void Tenant’s exercise of the Renewal Option, in which case Tenant’s exercise of the Renewal Option shall be of no force or effect, and the Term shall end on the Expiration Date of this Lease, unless sooner cancelled or terminated pursuant to the provisions of this Lease or by law. The applicable Renewal Term shall commence on the day following the then effective Expiration Date and shall end at midnight on the date that is fourteen (14) Lease Years thereafter. All of the terms, covenants and conditions of this Lease shall continue in full force and effect during the applicable Renewal Term, except that during the first Renewal Term, Tenant shall have an option to extend the Term of this Lease for one (1) Renewal Term pursuant to this Article, and during the last Renewal Term, Tenant shall have no further right to extend the Term of this Lease.",renewal_option_clause
6,"Renewal Option. As long as Lessee is not in default in the performance of its covenants under this Lease, Lessee is hereby granted the option to renew the Term of this Lease as to the Premises or a portion thereof (provided no portion shall be less than 50,000 rentable square feet of floor space as of the date of exercise of the renewal option) for periods of additional years each as described below (each of which is a ""Renewal Term""), to commence at the expiration of the initial term of this Lease, or applicable Renewal Term. Lessee shall exercise each option to renew by delivering written notice of such election to Lessor at least nine (9) months prior to the expiration of the Term of this Lease. The renewal of this Lease shall be upon the same terms and conditions of this Lease, except (a) the Base Rent during the Renewal Term shall be the prevailing market Base Rent rate (as defined below) at the time each Renewal Term commences, (b) Lessee shall have no option to renew this Lease beyond the Renewal Terms set out herein, (c) Lessee shall not have the right to assign its renewal rights to any sublessee of the Premises or assignee of the Lease, except to an Affiliate as described in Section 33 of the Lease and, at Lessor's discretion, and (d) the ""Term"" as defined in the Lease, shall include any Renewal Term that has been duly exercised by Lessee. The number of Renewal Terms and period of additional years each shall be determined by the number of rentable square feet of floor space covered by the renewal. If the floor space covered by the requested renewal is between 50,000 and 69,670 rentable square feet, Lessee shall have the option to renew the Term of the Lease for two (2) periods of five (5) additional years each. If the floor space covered by the requested renewal is equal to or more than 69,670 rentable square feet of floor space, Lessee shall have the option to renew the Term of the Lease for two (2) periods of five (5) additional years each or one (1) period of ten (10) years. It is understood and agreed that the term ""prevailing market Base Rent rate"", as used herein, shall mean, as of any date, the then prevailing annual rental rate being charged for space in comparable buildings (including the Building) in the area in The Woodlands development designated as The Woodlands Research Forest comparable to the space in the Building for which such determination is being made after taking into consideration the following (to the extent that same are applicable under...",renewal_option_clause
7,"Renewal Option. Provided Tenant is not in default under any of the terms and provisions herein contained and further provided Tenant is occupying the Demised Premises at the time the option is exercised, Landlord hereby grants to Tenant one (1) option to renew this Lease for one (1) period of five (5) years, commencing on the day following the expiration of the existing Lease Term. The renewal term shall be upon all the terms and conditions as the existing Lease Term with the sole exception that the Base Annual Rent shall be adjusted to reflect the then fair market rental value. Fair market rental value shall mean the then prevailing rent for premises comparable in size and use to the Demised Premises, located in buildings comparable in size and use to, and in the general vicinity of, the Building, leased on terms comparable to the terms contained in this Lease, taking into consideration all allowances for tenant improvements, moving expenses, landlord expenses, rent abatement, brokerage expenses, tenant benefits, parking charges or any other market concessions which may be commonly available at the time in question. Landlord shall provide Tenant with its estimate of the Fair Market Rental Value within thirty (30) days from Tenant’s notice to Landlord of its intent to exercise the renewal option. In the event Tenant disagrees as to Landlord’s estimate of the Fair Market Rental Value, it shall notify Landlord of such disagreement within twenty (20) days from receipt of Landlord’s notice of Fair Market Rental Value and shall provide Landlord with Tenant’s commercially reasonable estimate of the Fair Market Rental Value. In the event Landlord disagrees with Tenant’s proposed amount, the parties hereby agree to appoint a mutually acceptable unrelated independent arbitrator to resolve the dispute and agree to be bound by the decision of such arbitrator. Tenant and Landlord shall equally split the cost of the independent arbitrator. The foregoing option to renew shall be exercised by written notice to Landlord given not less than three hundred sixty-five (365) days prior to the expiration of the existing Term of this Lease. Time is of the essence with respect to Tenant’s exercise of its option to renew.",renewal_option_clause
8,"Renewal Option. (a) Provided that on the date Tenant exercises the Renewal Option (defined below) and at the commencement of the applicable Renewal Term (as hereinafter defined): (i) this Lease shall not have been terminated (as hereinafter defined); and (ii) Tenant shall not be in default under this Lease, beyond any applicable notice and cure period, Tenant shall have the option (the “Renewal Option”) to extend the term of this Lease for each of three consecutive five (5) year periods (each, a “Renewal Term”), to commence on the date that is the day after following the last day of the initial Term or the prior Renewal Term, as applicable, and to end on the day prior to the fifth anniversary of the date on which it commenced. (b) The Renewal Option for any Renewal Term shall be exercised with respect to all of the Demised Premises only and shall be exercisable by Tenant giving notice to Landlord (the “Renewal Notice”) at least 18 months before the last day of initial Term or the prior Renewal Term, as the case may be. Time is of the essence with respect to the giving of the Renewal Notice.",renewal_option_clause
9,Renewal Option. The parties by mutual agreement may decide to renew or extend the Management Agreement of this Management Agreement. Any such renewal or extension shall only become effective upon approval by the NIGC and appropriate licensing by the Gaming Commission.,renewal_option_clause
